,typecode,generated,CAS,altitude,std,vertical_rate
0,A320,generated_CVAE,154.36477380371093,2660.6801520996096,278.5564825115312,2678.5726171875
1,A320,generated_CVAE,154.53997534179686,2749.9659060058593,288.67662661234635,2678.5726171875
2,A320,generated_CVAE,154.6850528564453,2815.4411865234374,291.16713066035067,1964.2584155273437
3,A320,generated_CVAE,154.8577021484375,2889.4109365234376,290.19164463587623,2219.0925
4,A320,generated_CVAE,155.30317349243165,2967.6772041015624,289.73585049036427,2347.98802734375
5,A320,generated_CVAE,155.60486627197267,3030.364764160156,290.4901853318914,1880.6268017578125
6,A320,generated_CVAE,155.8863512878418,3093.3264755859377,290.27034317056734,1888.8513427734374
7,A320,generated_CVAE,156.5342790222168,3163.5524052734377,289.96653387607466,2106.777890625
8,A320,generated_CVAE,157.31227896118165,3221.586224121094,287.5079835854733,1741.0145654296875
9,A320,generated_CVAE,158.2390796508789,3280.5596879882814,283.69713954856326,1769.203916015625
10,A320,generated_CVAE,159.4862738342285,3343.779696777344,278.96912941699253,1896.600263671875
11,A320,generated_CVAE,160.85923999023439,3399.764580566406,277.7520180930268,1679.546513671875
12,A320,generated_CVAE,162.40836337280274,3450.426306640625,270.0235353231175,1519.8517822265626
13,A320,generated_CVAE,164.12217025756837,3500.475841796875,264.94454083926905,1501.4860546875
14,A320,generated_CVAE,165.92154232788087,3537.31092578125,265.0959377819109,1105.05251953125
15,A320,generated_CVAE,167.8011695251465,3564.765345214844,269.15469205195103,823.6325830078125
16,A320,generated_CVAE,169.69623944091796,3596.286546386719,271.19150396770897,945.63603515625
17,A320,generated_CVAE,171.66881301879883,3631.610263183594,269.64011491149046,1059.71150390625
18,A320,generated_CVAE,173.7852354736328,3670.8125380859374,270.30822071960307,1176.0682470703125
19,A320,generated_CVAE,176.12456915283204,3712.9209912109377,268.7399200616575,1263.25359375
20,A320,generated_CVAE,178.44304837036134,3755.0971215820314,268.96436048693056,1265.2839111328126
21,A320,generated_CVAE,180.81534790039063,3796.807087890625,270.1658407982961,1251.2989892578125
22,A320,generated_CVAE,183.29826376342774,3837.6444975585937,272.41330497135965,1225.1222900390626
23,A320,generated_CVAE,185.68528805541993,3877.550658203125,274.63153727852205,1197.1848193359374
24,A320,generated_CVAE,188.0588712463379,3918.321464355469,277.2415615084023,1223.1241845703125
25,A320,generated_CVAE,190.632456451416,3957.852373046875,282.10215644101555,1185.9272607421874
26,A320,generated_CVAE,193.3087648010254,3994.4485522460936,284.25345955524665,1097.8853759765625
27,A320,generated_CVAE,195.9569805908203,4031.5988876953124,288.44790881609276,1114.5100634765624
28,A320,generated_CVAE,198.6492204589844,4065.614453613281,296.07250651844845,1020.4669775390626
29,A320,generated_CVAE,201.5066312866211,4093.753072753906,305.0823868566092,844.15857421875
30,A320,generated_CVAE,204.25934371948242,4124.930532714844,318.69997148427376,935.323798828125
31,A320,generated_CVAE,207.12537829589843,4159.087420898438,335.42611598651234,1024.7066455078125
32,A320,generated_CVAE,209.9891199951172,4195.563187988281,345.57041998814424,1094.2730126953124
33,A320,generated_CVAE,212.6075180053711,4234.384325195312,352.16673941005297,1164.6341162109375
34,A320,generated_CVAE,215.25856243896484,4276.438012695313,360.62630631851516,1261.610625
35,A320,generated_CVAE,217.73429751586914,4319.984747558594,369.58071850202015,1306.4020458984376
36,A320,generated_CVAE,220.18685177612304,4367.467926269531,387.72444369584804,1424.495361328125
37,A320,generated_CVAE,222.79893661499023,4416.95187109375,398.0466483586338,1484.5183447265624
38,A320,generated_CVAE,225.27289630126953,4468.835580078125,408.2508850004269,1556.51126953125
39,A320,generated_CVAE,227.6691643676758,4522.0649233398435,416.62327011362555,1596.8802978515625
40,A320,generated_CVAE,230.00781622314454,4578.390463378906,426.14176842568554,1689.766201171875
41,A320,generated_CVAE,232.30884545898436,4635.635154785156,435.63098462800446,1717.3407421875
42,A320,generated_CVAE,234.49227352905274,4691.05394921875,449.3253829255404,1662.5638330078125
43,A320,generated_CVAE,236.52356887817382,4748.662478515625,458.9490787508869,1728.25587890625
44,A320,generated_CVAE,238.52133602905275,4812.875799316406,478.3598090536809,1926.3996240234376
45,A320,generated_CVAE,240.25415029907228,4879.5341298828125,493.4270734728311,1999.7499169921875
46,A320,generated_CVAE,241.69168746948242,4943.7857578125,507.61056096394293,1927.548837890625
47,A320,generated_CVAE,242.94296560668946,5015.1686137695315,528.6728413535351,2141.4856787109375
48,A320,generated_CVAE,244.1306884765625,5091.463742675781,545.2124451472587,2288.8538671875
49,A320,generated_CVAE,245.13490881347656,5167.515627441407,560.606220658221,2281.55654296875
50,A320,generated_CVAE,245.96912368774414,5246.5490151367185,577.0246323065217,2371.001630859375
51,A320,generated_CVAE,246.74314993286131,5329.797261230468,592.2059232650624,2497.4473828125
52,A320,generated_CVAE,247.37439266967775,5411.926689941406,604.4064976153915,2463.882861328125
53,A320,generated_CVAE,247.90938070678712,5496.218240234375,616.9746384841286,2528.7465087890623
54,A320,generated_CVAE,248.38149395751952,5583.282647949219,630.9766660350974,2611.9322314453125
55,A320,generated_CVAE,248.82127603149414,5668.056368164062,634.0315366508679,2543.2116064453126
56,A320,generated_CVAE,249.12567864990234,5759.943243164063,646.2905170558026,2756.60625
57,A320,generated_CVAE,249.2067006225586,5856.464145507813,666.9115066478956,2895.6270703125
58,A320,generated_CVAE,249.41502685546874,5951.423533203125,676.1567442541676,2848.781630859375
59,A320,generated_CVAE,249.59795944213866,6048.050668945312,687.3700431937317,2898.814072265625
60,A320,generated_CVAE,249.73462139892578,6143.7597114257815,692.1048051676316,2871.2712744140626
61,A320,generated_CVAE,249.87668353271485,6235.423262695313,701.0851570583994,2749.9065380859374
62,A320,generated_CVAE,250.04813369750977,6328.879292480468,709.1875455491138,2803.6808935546874
63,A320,generated_CVAE,250.1237100830078,6422.161033203125,714.9988672921222,2798.4522216796877
64,A320,generated_CVAE,250.19539288330077,6516.880976074219,720.1829237052814,2841.5982861328125
65,A320,generated_CVAE,250.22088616943358,6612.089630859375,727.238120308119,2856.2596435546875
66,A320,generated_CVAE,250.32339401245116,6704.749049316406,734.0035894579208,2779.7825537109375
67,A320,generated_CVAE,250.42110440063476,6793.530111328125,737.0930655466402,2663.4318603515626
68,A320,generated_CVAE,250.5322314758301,6886.239248046875,742.4243835715424,2781.2741015625
69,A320,generated_CVAE,250.59557806396484,6981.1632890625,746.4246233785689,2847.72123046875
70,A320,generated_CVAE,250.63644082641602,7073.171678710937,752.0534872529643,2760.251689453125
71,A320,generated_CVAE,250.63335232543946,7167.123849609375,758.2168979993512,2818.565126953125
72,A320,generated_CVAE,250.69818728637696,7261.826272460938,765.0078149426055,2841.072685546875
73,A320,generated_CVAE,250.74756158447266,7357.115275390625,773.5542458244388,2858.670087890625
74,A320,generated_CVAE,250.8217394104004,7452.778548828125,777.5369031627507,2869.898203125
75,A320,generated_CVAE,250.96012237548828,7543.208032226563,781.7404906367904,2712.884501953125
76,A320,generated_CVAE,251.00537686157227,7636.0196875,781.7294175544001,2784.349658203125
77,A320,generated_CVAE,251.09478106689454,7732.005850585938,783.966804404489,2879.584892578125
78,A320,generated_CVAE,251.17912240600586,7825.689919921875,790.0327331357752,2810.522080078125
79,A320,generated_CVAE,251.21290747070313,7922.870317382813,794.3614015681297,2915.411923828125
80,A320,generated_CVAE,251.28814099121092,8017.208920898437,800.1518552999705,2830.15810546875
81,A320,generated_CVAE,251.40566213989257,8103.510740234375,805.074393578584,2589.054580078125
82,A320,generated_CVAE,251.55361999511717,8192.051083984376,808.2757713463546,2656.2103125
83,A320,generated_CVAE,251.66844369506836,8279.224001953125,810.1838502408252,2615.1875390625
84,A320,generated_CVAE,251.7691043701172,8363.359762695312,815.231373394526,2524.072822265625
85,A320,generated_CVAE,251.89846542358399,8450.945604492188,819.1166391753674,2627.57525390625
86,A320,generated_CVAE,252.02666479492189,8535.324387695313,826.0184323991191,2531.36349609375
87,A320,generated_CVAE,252.09693005371093,8622.373802734375,833.7697726454752,2611.482451171875
88,A320,generated_CVAE,252.27013290405273,8707.103758789062,835.3641772410184,2541.898681640625
89,A320,generated_CVAE,252.3744960632324,8795.455435546875,844.156726311132,2650.550302734375
90,A320,generated_CVAE,252.52563095092773,8883.62133984375,849.3482173214936,2644.97712890625
91,A320,generated_CVAE,252.66946969604493,8970.0763046875,850.1777372123487,2593.6489453125
92,A320,generated_CVAE,252.8649023742676,9057.122782226563,855.8728263796369,2611.394326171875
93,A320,generated_CVAE,253.0494386291504,9139.219329101563,862.3567647691693,2462.89640625
94,A320,generated_CVAE,253.26480856323244,9223.300533203124,872.5580443876472,2522.436123046875
95,A320,generated_CVAE,253.5260239868164,9307.890559570313,878.7315815420894,2537.700791015625
96,A320,generated_CVAE,253.71740255737305,9392.2051328125,885.5988050302013,2529.437197265625
97,A320,generated_CVAE,254.00798681640626,9471.685651367188,888.7762824451776,2384.415556640625
98,A320,generated_CVAE,254.2938148498535,9552.421814453124,892.4310208680696,2422.084892578125
99,A320,generated_CVAE,254.67444583129884,9630.410875,894.5701323827333,2339.67181640625
100,A320,generated_CVAE,255.1296037902832,9706.446467773438,896.4095789069607,2281.067783203125
101,A320,generated_CVAE,255.61927728271485,9776.436094726563,896.4212065440493,2099.68880859375
102,A320,generated_CVAE,256.1240211181641,9847.309876953124,896.6788877725796,2126.213466796875
103,A320,generated_CVAE,256.6577828063965,9916.420272460937,898.2436722008293,2073.311865234375
104,A320,generated_CVAE,257.30414682006835,9982.464213867188,899.7657251850875,1981.3182421875
105,A320,generated_CVAE,258.0037913818359,10046.013920898438,903.036765461842,1906.4912109375
