,Data_origin,Typecode,Vertical_Rate
0,Historical Data,B738,2227.653333333333
1,Historical Data,B738,2511.52
2,Historical Data,B738,2879.36
3,Historical Data,B738,2441.9466666666667
4,Historical Data,B738,2356.0426666666667
5,Historical Data,B738,2227.7333333333336
6,Historical Data,B738,2278.0266666666666
7,Historical Data,B738,2408.6933333333336
8,Historical Data,B738,2270.5066666666667
9,Historical Data,B738,2108.6933333333336
10,Historical Data,B738,2484.213333333333
11,Historical Data,B738,2539.2
12,Historical Data,B738,2430.08
13,Historical Data,B738,2300.666666666667
14,Historical Data,B738,2377.28
15,Historical Data,B738,2313.9199999999996
16,Historical Data,B738,2355.413333333334
17,Historical Data,B738,2394.5333333333333
18,Historical Data,B738,2507.84
19,Historical Data,B738,2344.586666666667
20,Historical Data,B738,1929.333333333333
21,Historical Data,B738,1912.56
22,Historical Data,B738,2142.266666666667
23,Historical Data,B738,2328.293333333333
24,Historical Data,B738,2301.7066666666665
25,Historical Data,B738,2021.2444444444443
26,Historical Data,B738,2440.4266666666667
27,Historical Data,B738,2223.136
28,Historical Data,B738,2255.253333333333
29,Historical Data,B738,2334.9066666666668
30,Historical Data,B738,2186.693333333333
31,Historical Data,B738,2236.826666666667
32,Historical Data,B738,2171.146666666666
33,Historical Data,B738,2359.146666666666
34,Historical Data,B738,2113.253333333333
35,Historical Data,B738,2483.68
36,Historical Data,B738,2098.586666666667
37,Historical Data,B738,2310.133333333333
38,Historical Data,B738,2173.6533333333336
39,Historical Data,B738,2038.6895238095237
40,Historical Data,B738,2468.0
41,Historical Data,B738,2266.698666666666
42,Historical Data,B738,2422.5066666666667
43,Historical Data,B738,2362.9333333333334
44,Historical Data,B738,2594.08
45,Historical Data,B738,2530.933333333333
46,Historical Data,B738,2165.6533333333336
47,Historical Data,B738,2400.266666666667
48,Historical Data,B738,2165.3866666666668
49,Historical Data,B738,2244.32
50,Historical Data,B738,2120.2095238095235
51,Historical Data,B738,2307.306666666667
52,Historical Data,B738,2348.213333333333
53,Historical Data,B738,2368.6933333333336
54,Historical Data,B738,2303.2
55,Historical Data,B738,2272.64
56,Historical Data,B738,2136.4266666666663
57,Historical Data,B738,2218.9333333333334
58,Historical Data,A321,2046.8266666666668
59,Historical Data,B738,2271.786666666667
60,Historical Data,B738,2176.64
61,Historical Data,B738,2376.1866666666665
62,Historical Data,B738,2291.866666666667
63,Historical Data,B738,2281.3333333333335
64,Historical Data,B738,2034.426666666667
65,Historical Data,B738,2313.92
66,Historical Data,B738,2231.413333333333
67,Historical Data,B738,2254.56
68,Historical Data,B738,2263.2533333333336
69,Historical Data,B738,2138.133333333333
70,Historical Data,B738,2221.2533333333336
71,Historical Data,B738,2177.5466666666666
72,Historical Data,B738,2199.2533333333336
73,Historical Data,B738,2393.44
74,Historical Data,B738,2267.44
75,Historical Data,B738,2270.4
76,Historical Data,B738,2337.92
77,Historical Data,B738,2126.346666666667
78,Historical Data,B738,2371.1466666666665
79,Historical Data,B738,2146.96
80,Historical Data,B738,2548.64
81,Historical Data,B738,2342.9866666666667
82,Historical Data,B738,2420.5333333333333
83,Historical Data,B738,2373.6533333333336
84,Historical Data,B738,2170.373333333333
85,Historical Data,B738,2177.9733333333334
86,Historical Data,B738,2014.986666666667
87,Historical Data,B738,2209.066666666667
88,Historical Data,B738,2288.213333333333
89,Historical Data,B738,2147.1733333333336
90,Historical Data,B738,2144.8320000000003
91,Historical Data,B738,2444.0
92,Historical Data,B738,2146.5333333333333
93,Historical Data,B738,2146.0266666666666
94,Historical Data,B738,2308.4038095238093
95,Historical Data,B738,2371.9999999999995
96,Historical Data,B738,2319.12
97,Historical Data,B738,2252.2755555555555
98,Historical Data,B738,2341.1733333333336
99,Historical Data,B738,2240.48
100,Historical Data,B738,2047.28
101,Historical Data,B738,2334.659047619047
102,Historical Data,B738,2062.96
103,Historical Data,B738,2144.746666666667
104,Historical Data,B738,2274.853333333333
105,Historical Data,B738,2283.146666666667
106,Historical Data,B738,2133.92
107,Historical Data,B738,2552.2133333333336
108,Historical Data,B738,2412.64
109,Historical Data,B738,2380.64
110,Historical Data,B738,2298.1866666666665
111,Historical Data,B738,2215.104761904762
112,Historical Data,B738,2370.88
113,Historical Data,B738,2407.893333333334
114,Historical Data,B738,2041.6571428571428
115,Historical Data,B738,2236.0266666666666
116,Historical Data,B738,2397.0133333333333
117,Historical Data,B738,2186.8
118,Historical Data,B738,2287.866666666667
119,Historical Data,B738,2183.9466666666667
120,Historical Data,B738,2216.5447619047623
121,Historical Data,B738,2011.6647619047621
122,Historical Data,B738,2136.4266666666667
123,Historical Data,B738,2274.598095238095
124,Historical Data,B738,2074.119111111111
125,Historical Data,B738,2155.413333333333
126,Historical Data,B738,2172.853333333333
127,Historical Data,B738,1985.253333333333
128,Historical Data,B738,2287.5733333333333
129,Historical Data,B738,2233.866666666667
130,Historical Data,B738,2168.88
131,Historical Data,B738,2290.08
132,Historical Data,B738,2010.7733333333338
133,Historical Data,B738,2219.04
134,Historical Data,B738,2288.08
135,Historical Data,B738,2214.0533333333337
136,Historical Data,B738,2278.5333333333333
137,Historical Data,B738,2113.04
138,Historical Data,B738,2325.12
139,Historical Data,B738,2380.3733333333334
140,Historical Data,B738,2256.1028571428574
141,Historical Data,B738,2370.453333333333
142,Historical Data,B738,2391.5733333333333
143,Historical Data,B738,2179.936
144,Historical Data,B738,2084.0
145,Historical Data,B738,2374.48
146,Historical Data,B738,2316.16
147,Historical Data,B738,2109.04
148,Historical Data,A320,1850.1333333333334
149,Historical Data,B738,2355.8399999999997
150,Historical Data,B738,2053.733333333333
151,Historical Data,B738,2212.24380952381
152,Historical Data,B738,2037.8400000000004
153,Historical Data,B738,2236.0266666666666
154,Historical Data,B738,2241.866666666667
155,Historical Data,B738,2297.1733333333336
156,Historical Data,A318,2366.6133333333332
157,Historical Data,A318,2377.3013333333333
158,Historical Data,A318,2186.346666666667
159,Historical Data,A318,2380.0533333333333
160,Historical Data,A318,1995.0933333333335
161,Historical Data,A320,2170.4
162,Historical Data,A320,2125.12
163,Historical Data,A320,1725.2159999999997
164,Historical Data,A320,2198.5066666666667
165,Historical Data,A320,1901.7279999999998
166,Historical Data,A318,2301.6
167,Historical Data,A318,1929.813333333333
168,Historical Data,A318,2087.2853333333333
169,Historical Data,A318,2370.4
170,Historical Data,A318,2119.413333333333
171,Historical Data,A318,2201.653333333333
172,Historical Data,A320,1971.3173333333332
173,Historical Data,A321,2134.453333333333
174,Historical Data,A321,2030.9333333333334
175,Historical Data,A321,1840.2666666666667
176,Historical Data,A320,1948.3946666666668
177,Historical Data,A320,1900.48
178,Historical Data,A320,1971.8933333333332
179,Historical Data,A321,1636.4
180,Historical Data,A321,1732.2879999999998
181,Historical Data,A321,2253.6533333333336
182,Historical Data,A320,2339.36
183,Historical Data,A320,2088.24
184,Historical Data,A321,1727.4666666666665
185,Historical Data,A318,2331.733333333333
186,Historical Data,A318,2394.176
187,Historical Data,A320,2528.0533333333333
188,Historical Data,A320,2412.64
189,Historical Data,A320,2573.546666666667
190,Historical Data,A320,2146.933333333333
191,Historical Data,A318,2377.866666666667
192,Historical Data,A318,2370.9866666666667
193,Historical Data,A318,2278.8266666666664
194,Historical Data,A318,2124.501333333333
195,Historical Data,A318,2451.786666666667
196,Historical Data,A318,2415.733333333333
197,Historical Data,A318,2348.2133333333336
198,Historical Data,A320,2376.0533333333333
199,Historical Data,A320,1812.8
200,Historical Data,A320,1980.6933333333334
201,Historical Data,A320,2072.266666666667
202,Historical Data,A320,2054.037333333333
203,Historical Data,A320,2096.8533333333335
204,Historical Data,A320,1990.9333333333334
205,Historical Data,A318,2119.626666666667
206,Historical Data,A318,2511.8720000000003
207,Historical Data,A318,2374.232380952381
208,Historical Data,A320,2082.792380952381
209,Historical Data,A320,2397.813333333333
210,Historical Data,A318,2382.64
211,Historical Data,A320,2010.24
212,Historical Data,A320,2080.2666666666664
213,Historical Data,A318,2353.12
214,Historical Data,A320,2187.434666666666
215,Historical Data,A321,1935.3066666666668
216,Historical Data,A318,2280.4266666666667
217,Historical Data,A318,2178.826666666667
218,Historical Data,A320,2088.2666666666664
219,Historical Data,A320,2036.3733333333332
220,Historical Data,A320,1824.64
221,Historical Data,A320,2056.16
222,Historical Data,A320,2086.6133333333337
223,Historical Data,A320,1650.6133333333335
224,Historical Data,A320,2131.4666666666667
225,Historical Data,A321,1670.3466666666666
226,Historical Data,A321,2087.4666666666667
227,Historical Data,A318,2199.52
228,Historical Data,A318,2304.16
229,Historical Data,A320,1742.368
230,Historical Data,A318,2450.346666666667
231,Historical Data,A318,2386.08
232,Historical Data,A321,1801.84
233,Historical Data,A320,2055.0933333333332
234,Historical Data,A320,2106.773333333333
235,Historical Data,A320,2123.84
236,Historical Data,A321,1753.184
237,Historical Data,A318,2775.626666666667
238,Historical Data,A318,2253.28
239,Historical Data,A318,2509.44
240,Historical Data,A318,2612.266666666667
241,Historical Data,A318,2544.7466666666664
242,Historical Data,A320,1957.5466666666666
243,Historical Data,A318,2198.5813333333335
244,Historical Data,A320,2051.530666666667
245,Historical Data,A320,1683.1040000000003
246,Historical Data,A320,2124.693333333333
247,Historical Data,A321,1959.946666666667
