Model file, Data file, Dataset Typecodes, Selected Typecode, Total loss, KL, log likelihood, MSE, test 
data_orly/src/generation/models/saved_weights/limited_one_typecode/B738_A320/20/CVAE_both_B738_A320_20.pth, data_orly/data/sampled_data/combined_data/B738_A320_20.pkl, ['B738', 'A320'] ,B738, -1978.3017578125, 69.20257568359375, -1909.0991821289062, 0.2781138546128323, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/B738_A320/20/CVAE_both_B738_A320_20.pth, data_orly/data/sampled_data/combined_data/B738_A320_20.pkl, ['B738', 'A320'] ,B738, -1603.745849609375, 76.5786361694336, -1527.1672134399414, 0.5041836687143413, True 
data_orly/src/generation/models/saved_weights/limited_one_typecode/B738_A320/20/CVAE_both_B738_A320_20.pth, data_orly/data/sampled_data/combined_data/B738_A320_20.pkl, ['B738', 'A320'] ,A320, -2113.75244140625, 66.11114501953125, -2047.6412963867188, 0.19662135197566105, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/B738_A320/20/CVAE_both_B738_A320_20.pth, data_orly/data/sampled_data/combined_data/B738_A320_20.pkl, ['B738', 'A320'] ,A320, -2038.69482421875, 74.28519439697266, -1964.4096298217773, 0.23780094413552075, True 
data_orly/src/generation/models/saved_weights/limited_one_typecode/B738_A320/20/VAE_A320_20.pth, data_orly/data/sampled_data/combined_data/B738_A320_20.pkl, ['A320'] ,A320, -1680.2564697265625, 47.982460021972656, -1632.2740097045898, 0.6197245905949519, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/B738_A320/20/VAE_A320_20.pth, data_orly/data/sampled_data/combined_data/B738_A320_20.pkl, ['A320'] ,A320, -1506.9268798828125, 60.086326599121094, -1446.8405532836914, 0.8469701273790401, True 
data_orly/src/generation/models/saved_weights/limited_one_typecode/B738_A320/20/CVAE_both_B738_A320_20.pth, data_orly/data/sampled_data/combined_data/B738_A320_20.pkl, ['B738', 'A320'] ,B738, -1976.786865234375, 69.14440155029297, -1907.642463684082, 0.2790823141049958, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/B738_A320/20/CVAE_both_B738_A320_20.pth, data_orly/data/sampled_data/combined_data/B738_A320_20.pkl, ['B738', 'A320'] ,B738, -1591.234375, 76.44508361816406, -1514.789291381836, 0.5119691714211618, True 
data_orly/src/generation/models/saved_weights/limited_one_typecode/B738_A320/20/CVAE_both_B738_A320_20.pth, data_orly/data/sampled_data/combined_data/B738_A320_20.pkl, ['B738', 'A320'] ,A320, -2113.208984375, 66.40931701660156, -2046.7996673583984, 0.19677230834960938, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/B738_A320/20/CVAE_both_B738_A320_20.pth, data_orly/data/sampled_data/combined_data/B738_A320_20.pkl, ['B738', 'A320'] ,A320, -2037.8900146484375, 74.23038482666016, -1963.6596298217773, 0.2383303455349851, True 
data_orly/src/generation/models/saved_weights/limited_one_typecode/B738_A320/20/VAE_A320_20.pth, data_orly/data/sampled_data/combined_data/B738_A320_20.pkl, ['A320'] ,A320, -1661.5067138671875, 48.57156753540039, -1612.935146331787, 0.6428248009314904, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/B738_A320/20/VAE_A320_20.pth, data_orly/data/sampled_data/combined_data/B738_A320_20.pkl, ['A320'] ,A320, -1537.3302001953125, 61.65153884887695, -1475.6786613464355, 0.7950435650311527, True 
data_orly/src/generation/models/saved_weights/limited_one_typecode/B738_A320/20/CVAE_both_B738_A320_20.pth, data_orly/data/sampled_data/combined_data/B738_A320_20.pkl, ['B738', 'A320'] ,B738, -1815.1181640625, 72.5754623413086, -1742.5427017211914, 0.35576143364416873, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/B738_A320/20/CVAE_both_B738_A320_20.pth, data_orly/data/sampled_data/combined_data/B738_A320_20.pkl, ['B738', 'A320'] ,B738, -1442.022705078125, 76.88396453857422, -1365.1387405395508, 0.5510604415197096, True 
data_orly/src/generation/models/saved_weights/limited_one_typecode/B738_A320/20/CVAE_both_B738_A320_20.pth, data_orly/data/sampled_data/combined_data/B738_A320_20.pkl, ['B738', 'A320'] ,A320, -2125.51171875, 57.6680908203125, -2067.8436279296875, 0.19928032508263221, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/B738_A320/20/CVAE_both_B738_A320_20.pth, data_orly/data/sampled_data/combined_data/B738_A320_20.pkl, ['B738', 'A320'] ,A320, -2095.2255859375, 77.68621826171875, -2017.5393676757812, 0.2047181162492783, True 
data_orly/src/generation/models/saved_weights/limited_one_typecode/B738_A320/20/VAE_A320_20.pth, data_orly/data/sampled_data/combined_data/B738_A320_20.pkl, ['A320'] ,A320, -1712.0, 43.036521911621094, -1668.963478088379, 0.5802535306490385, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/B738_A320/20/VAE_A320_20.pth, data_orly/data/sampled_data/combined_data/B738_A320_20.pkl, ['A320'] ,A320, -1551.423583984375, 58.835391998291016, -1492.588191986084, 0.7737886416986122, True 
data_orly/src/generation/models/saved_weights/limited_one_typecode/B738_A320/20/CVAE_both_B738_A320_20.pth, data_orly/data/sampled_data/combined_data/B738_A320_20.pkl, ['B738', 'A320'] ,B738, -1814.6429443359375, 72.31250762939453, -1742.330436706543, 0.35615240377228025, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/B738_A320/20/CVAE_both_B738_A320_20.pth, data_orly/data/sampled_data/combined_data/B738_A320_20.pkl, ['B738', 'A320'] ,B738, -1448.0972900390625, 76.9927749633789, -1371.1045150756836, 0.5477859180497925, True 
data_orly/src/generation/models/saved_weights/limited_one_typecode/B738_A320/20/CVAE_both_B738_A320_20.pth, data_orly/data/sampled_data/combined_data/B738_A320_20.pkl, ['B738', 'A320'] ,A320, -2127.68603515625, 58.40540313720703, -2069.280632019043, 0.19773850661057693, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/B738_A320/20/CVAE_both_B738_A320_20.pth, data_orly/data/sampled_data/combined_data/B738_A320_20.pkl, ['B738', 'A320'] ,A320, -2095.307373046875, 78.15349578857422, -2017.1538772583008, 0.20442736525091418, True 
data_orly/src/generation/models/saved_weights/limited_one_typecode/B738_A320/20/VAE_A320_20.pth, data_orly/data/sampled_data/combined_data/B738_A320_20.pkl, ['A320'] ,A320, -1710.7659912109375, 43.67221450805664, -1667.0937767028809, 0.5810533728966346, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/B738_A320/20/VAE_A320_20.pth, data_orly/data/sampled_data/combined_data/B738_A320_20.pkl, ['A320'] ,A320, -1554.272705078125, 58.99673843383789, -1495.275966644287, 0.7697644914899554, True 
data_orly/src/generation/models/saved_weights/limited_one_typecode/B738_A320/20/CVAE_both_B738_A320_20.pth, data_orly/data/sampled_data/combined_data/B738_A320_20.pkl, ['B738', 'A320'] ,B738, -1810.763671875, 72.47502899169922, -1738.2886428833008, 0.3581207594258989, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/B738_A320/20/CVAE_both_B738_A320_20.pth, data_orly/data/sampled_data/combined_data/B738_A320_20.pkl, ['B738', 'A320'] ,B738, -1456.0404052734375, 77.18700408935547, -1378.853401184082, 0.5434766334122147, True 
data_orly/src/generation/models/saved_weights/limited_one_typecode/B738_A320/20/CVAE_both_B738_A320_20.pth, data_orly/data/sampled_data/combined_data/B738_A320_20.pkl, ['B738', 'A320'] ,A320, -2128.8857421875, 58.39453125, -2070.4912109375, 0.19710899939903845, False 
data_orly/src/generation/models/saved_weights/limited_one_typecode/B738_A320/20/CVAE_both_B738_A320_20.pth, data_orly/data/sampled_data/combined_data/B738_A320_20.pkl, ['B738', 'A320'] ,A320, -2094.27099609375, 78.03484344482422, -2016.2361526489258, 0.20503893845626445, True 
